estado_sht,clave_sht,glg_andesita,glg_conglomerado,glg_volcanoclastico,glg_n_a,glg_aluvial,glg_brecha_sedimentaria,glg_dacita,glg_brecha_volcanica_basica,glg_brecha_volcanica_intermedia,glg_lacustre,glg_toba_basica,glg_basalto,glg_basalto_brecha_volcanica_basica,glg_toba_basica_brecha_volcanica_basica,glg_arenisca_conglomerado,glg_toba_intermedia,glg_caliza,glg_lutita_arenisca,glg_caliza_lutita,glg_metasedimentaria,glg_porfido_riolitico,glg_travertino,glg_toba_acida,glg_basalto_toba_basica,suelo1_feozem,suelo1_luvisol,suelo1_andosol,suelo1_n_a,suelo1_vertisol,suelo1_fluvisol,suelo1_planosol,suelo1_litosol,suelo1_regosol,suelo1_cambisol,suelo1_solonchak,suelo1_histosol,suelo1_gleysol,suelo1_acrisol,suelo1_rendzina,suelo1_castanozem,suelo2_andosol,suelo2_feozem,suelo2_litosol,suelo2_vertisol,suelo2_n_a,suelo2_planosol,suelo2_luvisol,suelo2_ninguno,suelo2_gleysol,suelo2_fluvisol,suelo2_cambisol,suelo2_solonchak,suelo2_histosol,suelo2_regosol,suelo2_rendzina,suelo2_acrisol,suelo2_chernozem,suelo2_castanozem,usv_10101040104,usv_20201010400,usv_20201020600,usv_21302030300,usv_10101040103,usv_10102040104,usv_30000000031,usv_20105010400,usv_20202010400,usv_10101010304,usv_20105020600,usv_30000000032,usv_20104010400,usv_20201010500,usv_10102040102,usv_20103010400,usv_20105020500,usv_20906010400,usv_10102040204,usv_20103020600,usv_20104020600,usv_10301030304,usv_10201040304,usv_20103020500,usv_10103040104,usv_20104020500,usv_30000000030,usv_20202020500,usv_21007030400,usv_21201030300,usv_20802010400,usv_20202020600,usv_20907010400,usv_20301010400,usv_20602020600,usv_20602020500,usv_20301020600,usv_20905010400,usv_20301020500,usv_21301030300,usv_20602010400,usv_10102040103,usv_20106020500,usv_20106020600,usv_21002010400,usv_20804010400,slope_min,slope_max,slope_median,slope_mean,slope_sd
Estado de Mexico,E-110,840.6550980033627,0,0,0,130.86026502281456,0,0,523.9946620687306,0,0,189.3846298700506,690.3750830491538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917.6163954349488,19.480739577017726,0,0,0,153.1243412311241,0,285.0482617710261,0,0,0,0,0,0,1091.0228798483215,941.4941173855093,22.09668085959703,0,19.480739577017726,0,285.0482617710261,16.127058572645115,0,0,0,0,0,0,0,0,0,0,317.28000113640206,157.80985963848596,67.287854783649,45.28355793586944,796.6943373859708,0,19.526338908796014,0,27.02709702821933,0,0,38.50425638910892,0,14.16913206466157,0,703.2436513588211,0,0,0,0,61.764623342911364,0,0,126.67902804127895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6173228786140393,21.27642096884314,4.461987595826551,6.183408317127363,4.607895595399127
Ciudad de Mexico,M-027,1022.4461436305739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018.5389326146162,0,0,0,0,3.9072110160388056,0,0,0,0,0,0,0,0,1022.446143630655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.050859764097864,0,0,305.75878607131466,0,0,0,0,0,0,0,0,13.791844935347699,0,0,128.84518587455472,0,0,0,0,568.9994669852338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2061138239525055,22.602189118648397,6.047714157269084,7.278128600806832,5.017860053529628
Ciudad de Mexico,M-049,635.0610196876681,0,0,0,386.25670707269177,0,0,0,0,374.49375164194674,0,0,149.3062535065791,0,0,0,0,0,0,0,0,0,0,0,1135.426545136967,0,0,220.74301655093387,0,0,0,16.594408159722995,0,0,0,0,172.35376206124184,0,0,0,84.14130589864055,0,0,0,220.74301655093387,0,0,688.9047865125806,0,378.9748608854689,0,0,172.35376206124184,0,0,0,0,0,0,0,0,120.99593080589769,374.7864660910285,475.6397295497194,0,0,0,0,0,573.6956054622518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10368863225358362,10.17413209978726,2.3585041817986276,2.8385900561066997,2.506499346897822
Estado de Mexico,E-112,1042.876360358767,0,0,0,43.19199083120655,0,0,347.45560424807746,0,0,130.61782786734128,237.6348113157647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801.7765946211855,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.0660455010667,625.9213400736356,0,0,0,0,0,165.78920904648322,0,0,0,0,0,0,0,0,0,0,63.47093268695828,60.19764207746201,0,399.5961147453286,706.0679232666672,0,0,0,0,0,0,0,0,97.4952952577859,0,447.2279777522536,0,0,0,0,27.72070883480378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.996099857622117,14.402281065274028,6.741249379728384,6.9903473163336125,3.08214024397855
Ciudad de Mexico,M-032,402.21947742854434,0,0,0,0,0,0,19.544123593294362,0,0,507.739574404603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.2740190894451,67.98982259931364,0,0,0,324.2393337377037,0,0,0,0,0,0,0,0,724.5810096713969,0,0,0,67.98982259931364,0,0,136.93234315575177,0,0,0,0,0,0,0,0,0,0,340.52928103618683,0,0,244.51583077113236,0,0,0,0,0,0,0,69.32246041008467,59.37911911831631,0,0,215.7564840906985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7583665656446514,14.591847434188606,7.631405066418222,7.463510012537797,3.4317016991630607
Ciudad de Mexico,M-040,0,0,0,0,127.78648438019306,0,0,21.269826501641248,0,0,0.024915166419371963,799.3243879682668,0,74.21075021743552,0,0,0,0,0,0,0,0,0,0,759.0728783586461,0,0,263.5434863617238,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79465989133343,637.8585555215068,0,263.5434863617238,0,0,0,0,0,104.41966294580587,0,0,0,0,0,0,0,460.9708958391113,0,0,0,0,0,4.0412989469080465,0,19.733116990330583,0,0,535.7357809831825,0,0,0,0,0,0,0,0,0,2.135271474340162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3365258346049225,8.466370306362792,4.286046730777564,4.335180710339145,1.5947818352239769
Estado de Mexico,E-113,128.5526737697366,0,0,0,22.25433562358001,0,0,34.78644679758232,0,0,227.1605603527383,317.2689068874486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.0229234310614,0,0,0,0,0,0,0,0,0,0,0,0,0,38.883136248496605,470.1392771047041,0,0,0,0,0,221.0005100778606,0,0,0,0,0,0,0,0,0,0,433.0943978147925,49.68172956665103,0,131.91236969292243,115.33442635671216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6462953132808367,12.363615467930059,5.169931377470119,5.2756685469468705,2.2911337452071945
Ciudad de Mexico,M-033,313.65033426606414,0,0,0,0,0,0,4.679287750487775,0,0,273.0407470616093,36.19558930376116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.3392024703469,0,0,0,0,37.226755911540245,0,0,0,0,0,0,0,0,488.93578680514344,0,0,0,0,0,0,138.63017157674366,0,0,0,0,0,0,0,0,0,0,570.6125587468656,0,0,40.9446642045138,0,0,0,8.101499020607024,0,0,0,0,2.4328020768225196,0,0,0,0,0,0,0,5.47443433298124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9804542252987076,12.836431070254184,7.170869100117039,7.5017311760800025,2.614934076993338
Estado de Mexico,E-111,812.6521921188452,0,0,0,85.68271566888058,0,0,90.5959423534009,0,0,121.79008054017798,266.45126737719335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377.1721980584907,0,0,0,0,0,0,0,0,0,0,0,0,0,1283.0798642166878,53.40169343472091,0,0,0,0,0,40.69064040708207,0,0,0,0,0,0,0,0,0,0,117.60142638480929,0,0,291.1419268792851,0,0,0,0,0,0,0,0,0,0,0,26.05326042585322,0,0,0,0,831.9403289686829,0,0,110.43525539983074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9243371462055237,10.91387168252881,6.154875227194975,5.985616997846642,2.227925878033174
Estado de Mexico,E-135,0,0,0,0,193.7879002340518,0,0,0,0,214.45816029394754,0,0,437.5514264679776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.522461894144119,0,441.638914515134,0,395.9257797512804,0,0,0.5282100453061983,0,1.1821207901589572,0,0,0,395.9257797512804,0,0,0,6.522461894144119,0,0,441.638914515134,0,0,0,0.5282100453061983,1.1821207901589572,0,0,0,0,0,50.32472369108172,0,0,333.71622059679856,0,26.221490438991786,0,0,0,0,0,307.99498633547614,0.3329434693968855,0,0,0,0,0,127.20712246423754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1401747174174916,16.08202714599144,2.1880186667174977,3.9190912964176134,4.404376121935532
Ciudad de Mexico,M-020,346.74065925649813,0,0,0,2985.6160661920358,0,0,1734.1916832590232,0,11665.04471283869,443.885338395444,994.4888819371697,956.0587420938001,0,0,0,0,0,0,0,0,0,0,0,907.0706076741747,0,0,9473.392711343222,0,1029.9424962406456,0,1007.4607218295821,1574.0876826802303,0,2400.145789475326,1080.176275464056,1653.7497947489608,0,0,0,1007.4607218295821,1668.4168500596084,1244.336984484989,0,9473.392711343222,0,0,1512.1700131771365,0,210.07213240061702,0,2154.9602333883163,1653.7497947489608,201.4666380237654,0,0,0,0,2390.755198380033,0,0,1001.1160944730319,123.18101831581109,3322.274830278969,572.5578450010817,0,0,0,0,10822.680863029815,1.549362762220623,0,0,0,0,20.60813562840093,521.8008022637318,0,0,110.01106586497454,155.47065463250925,0,0,0,0,0,0,0,84.02021334233406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.814262199630484,0.2568855715798042,1.202788253835895,2.419154190171839
