cvesht_edo,id_nano,alt_mean,alt_sd,densff_mean,densff_sd,prom_mean,prom_sd,slope_mean,slope_sd,glg_andesita,glg_toba_intermedia,glg_brecha_sedimentaria,glg_brecha_volcanica_basica,glg_toba_basica,glg_toba_basica_brecha_volcanica_basica,glg_aluvial,glg_basalto,glg_basalto_toba_basica,glg_volcanoclastico,glg_caliza,glg_conglomerado,glg_n_a,glg_dacita,glg_brecha_volcanica_intermedia,glg_lacustre,glg_basalto_brecha_volcanica_basica,glg_arenisca_conglomerado,glg_lutita_arenisca,glg_caliza_lutita,glg_metasedimentaria,glg_porfido_riolitico,glg_travertino,glg_toba_acida,suelo1_andosol,suelo1_cambisol,suelo1_regosol,suelo1_feozem,suelo1_litosol,suelo1_n_a,suelo1_fluvisol,suelo1_luvisol,suelo1_vertisol,suelo1_planosol,suelo1_histosol,suelo1_acrisol,suelo1_rendzina,suelo1_casta_ozem,suelo1_castanozem,suelo1_gleysol,suelo1_solonchak,suelo2_cambisol,suelo2_litosol,suelo2_vertisol,suelo2_feozem,suelo2_regosol,suelo2_n_a,suelo2_ninguno,suelo2_fluvisol,suelo2_andosol,suelo2_planosol,suelo2_luvisol,suelo2_gleysol,suelo2_rendzina,suelo2_acrisol,suelo2_chernozem,suelo2_castanozem,suelo2_histosol,suelo2_solonchak,usv_us_ath,usv_vn_be_p,usv_vn_bo,usv_vn_bp,usv_vn_bp_e,usv_vs_be,usv_us_ah,usv_ic_pzi,usv_vn_dv,usv_vs_bp,usv_ic_bc,usv_vn_pam,usv_vs_bo,usv_vn_be,usv_us_ar,usv_vs_bp_e,usv_vn_sva,usv_vs_be_p,usv_vn_ca,usv_vn_mc,usv_ic_pc,usv_vn_tul,usv_vn_ms,usv_vn_bmm,usv_vs_sbc,usv_vs_bmm,usv_vn_mdr,usv_ic_pmi,usv_vn_sbc,usv_vn_bg,usv_vs_bt,usv_vn_ph,sueloinifap_andosol_humico,sueloinifap_cambisol_humico,sueloinifap_regosol_eutrico,sueloinifap_feozem_haplico,sueloinifap_litosol,sueloinifap_cambisol_eutrico,sueloinifap_regosol_districo,sueloinifap_fluvisol_districo,sueloinifap_fluvisol_eutrico,sueloinifap_andosol_molico,sueloinifap_feozem_luvico,sueloinifap_na,sueloinifap_rendzina,sueloinifap_luvisol_cromico,sueloinifap_vertisol_pelico,sueloinifap_andosol_ocrico,sueloinifap_planosol_eutrico,sueloinifap_vertisol_cromico,sueloinifap_planosol_molico,sueloinifap_luvisol_ortico,sueloinifap_regosol_calcarico,sueloinifap_cambisol_cromico,sueloinifap_feozem_gleyico,sueloinifap_histosol_eutrico,sueloinifap_acrisol_humico,sueloinifap_feozem_calcarico,sueloinifap_castanozem_calcico,sueloinifap_cambisol_calcico_calcarico,sueloinifap_castanosem_haplico,sueloinifap_gleysol_molico,sueloinifap_solonchak_gleyico,sueloinifap_solonchak_molico
E-166,22,4075.42467401,342.776059761,0.169887563214,0.0128534148195,943.281059265,24.4657740861,11.021857985366855,5.71393417043262,602.6696313316448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.987341360753481,0,480.3040288361056,0,111.3782611348177,0,0,0,0,0,0,0,0,0,0,0,0,0,480.3040288361056,0,0,111.3782611348177,0,10.987341360753481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.93960873039794,0,0,0,0,0,0,0,78.48645668243209,0,0,0,0,172.2435659188483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.221556224524846,0,0,0,95.78519598722372,0,489.66287911987735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-163,23,3717.22423167,83.7694591907,0.146653800209,0.0171802593254,917.827604167,11.0166857954,4.624345876055313,2.453480543037721,612.1574297621936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.41170560598567,0,432.7457241562223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.7457241562223,0,0,0,0,179.41170560598567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0073562549781,0,0,0,166.15007350723823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.14604531942692,0,0,0,0,0,422.01138444280764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-198,24,3675.79347613,94.1331332123,0.0721539038826,0.00488267514476,1032.12832364,30.477741784,4.488110425702682,1.721229477667812,121.93539844015763,252.0714451330979,0,0,0,0,0,667.1385116763965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041.1453552494468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041.1453552494468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607.8244479641828,0,0,0,0,0,0,0,433.3209072852664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.4557559194774,0,0,0,656.6895993300161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-018,25,3694.32101565,151.274863588,0.0794209342982,0.0069893074136,1055.93500628,19.5847188999,7.218766124844228,2.5779966496149105,481.240148896819,128.15913364888127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.3992825456486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.3992825456486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.3145057290182,0,0,0,13.946559560648039,0,0,0,29.13821725600879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.3992825456486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-159,26,3414.27354109,160.154702949,0.0994127543909,0.0192853397294,892.801916504,18.3288591276,4.794303484389147,2.1986867997019037,1736.623210935667,0,219.23104828169153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.7911906692311,54.989326621278494,1648.0737419267907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.989326621278494,1897.4149389704894,0,0,0,0,3.449993625532312,0,0,0,0,0,0,0,0,0,0,0,0,0,233.00600968985847,1502.2013572208457,109.99977956481082,0,0,110.6471127416707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.1678710906449,58.18648967657881,0,0,0,0,1590.4998984500621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-157,27,3266.49778012,92.2983317838,0.105340349674,0.0242982851746,885.03270263700006,15.7853543416,3.7333365267380714,1.5228828889496921,943.7136884388611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890.8979848135197,52.602284153635,0.2134194717439119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.602284153635,891.1114042852636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806.8143208534404,136.89936758546546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858.9897635564743,84.72392488244543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-022,28,2870.47759609,467.310033462,0.0515906077712,0.0275387119875,1119.26388889,45.9423412154,6.641467999140228,4.90974386889662,893.4639324775814,0,0,0,644.6368600840143,0,0,0,18.383095043758317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132.1438578998925,0,424.3400297054024,0,0,0,0,0,0,0,0,0,0,0,0,0,278.24146777386346,0,0,424.3400297054024,0,636.5740723607678,217.32831776526123,0,0,0,0,0,0,0,0,0,0,0,0,0,453.9804568071237,0,126.11870885592158,0,0,0,53.24298901665592,0,57.16103472602859,0,0,357.75924426170343,452.0209132907563,56.200540647091664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858.322604652736,0,417.0870436458661,0,281.0742393067089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-009,29,3457.0411603,437.812709065,0.100625668817,0.0405385806665,957.233621036,20.0354782287,11.234820595290984,4.173393537361339,1727.2207521302403,35.786676721230236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.03023234959636,47.46624039605931,1233.3731788719717,0,65.13777723389377,0,0,0,0,0,0,0,0,0,0,0,0,0,1650.4034112215681,47.46624039605931,0,65.13777723389377,0,0,0,0,0,0,0,0,0,0,0,0,0,14.269596699259768,0,550.3312830279251,964.2223751803183,0,0,0,0,0,0,0,92.9889322097662,0,0,0,0,141.1952417341384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.4184836281815,47.91112824458343,0,0,52.13301358985951,0,1234.544803388842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-010,30,3489.6029623,461.142405492,0.0952031509104,0.0378724711077,975.977955211,24.4075021201,11.40005004725108,4.2445461313240544,641.2665854074755,20.696047265533863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.47024942056676,33.930393116744135,461.35938652643347,0,62.20260360926832,0,0,0,0,0,0,0,0,0,0,0,0,0,565.8296359470003,33.930393116744135,0,62.20260360926832,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32376126655576,0,69.76455556500362,471.5272941639984,0,0,0,0,0,0,0,78.70808936649622,0,0,0,0,22.63893231101576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.39659418689143,35.16013237481431,0,0,63.203744145027656,0,455.2021619662681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-019,31,3924.20724135,577.984312799,0.0809179021813,0.0122818805079,1128.42545573,97.0762474763,11.863192238257907,7.572350890477351,781.8102781733163,515.9376511344853,0,0,190.57318653765702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963.06086046319,0,525.260255382264,0,0,0,0,0,0,0,0,0,0,0,0,0,667.6893214129968,0,0,525.260255382264,0,159.41160467213658,135.95993437805654,0,0,0,0,0,0,0,0,0,0,85.96625802080018,0,0,392.72867442013364,0,0,0,53.53828691486042,0,84.57504567196125,0,32.2027734733264,0,0,0,143.31252636813358,695.99755097627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.7746399625602,0,509.550370648366,0,682.996105234513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
